ABLY	abley
ABRAHYM	ibrahim
ABRAYT	ebright
ABRVTR	oberreuter
ABVBA	aboba
ABVRYMH	eboreime
ABYA	abia
ADAB	adab
ADANL	odonnell
ADBRG	edberg
ADLA	adela
ADMVNZ	edmonds
ADRYANS	adriance
ADVARDSN	edwardsson
ADVLF	adolph
ADVLFSVN	adolfsson
ADYNGTVN	edgington
AFRVDYT	aphrodite
AFYS	office
AFZL	afzal
AGNVYK	aganovic
AGPYAN	agopian
AGRAVALA	agrawala
AGVSTV	augusto
AGVYV	agoyo
AJRAYNGLND	adgeringelant
AKBRG	ekberg
AKDAG	akdag
AK	oke
AKSDLM	axthelm
AKSTYN	eckstein
AKYN	akin
ALAQBH	alaqabah
ALASVRS	alsworth
ALBYNGR	albinger
ALDRYJH	aldridge
ALDYN	eldin
ALGSAN	alagesan
ALGYNGTVN	elkington
ALKR	allcor
ALMNTAJ	almintaqah
ALMYRAL	almirall
ALRTN	allerton
ALSAP	allsopp
ALSP	alsop
ALTRVYD	aaltruide
ALTZ	oltz
ALVARV	alvaro
ALVYN	elwin
ALY	alley
ALYN	alain
AMANYVL	emmanuel
AMBASY	embassy
AMPRVR	empereur
AMYNA	aamina
AMYR	emyr
AMYZVTA	amezquita
AN	anne
ANAY	anay
ANCY	anchi
ANDNS	andenes
ANDR	endre
ANDRR	anderer
ANDSVRT	endesworth
ANDYYVRANS	endurance
ANGLANDR	englander
ANGLTH	engeltje
ANJLT	engeltje
ANSTYTV	institut
ANTVNY	antoni
ANTY	antti
ANV	enno
ANVN	anon
APRSVN	aperson
ARAN	eran
ARCR	archer
ARMVNTRVT	armontrout
ARMYTAJ	armitage
ARNAT	arnot
ARNST	ernest
ARNT	arnot
ARSKAYN	erskine
ARSYD	ersheid
ARVND	aernoudt
ARZAT	arzate
ASKARTSYS	skartsis
ASKLTVN	skelton
ASKLVYR	sklower
ASKRAB	scrub
ASKRNTN	scranton
ASKVGAN	skogen
ASKVTVNY	scotoni
ASKYLS	skiles
ASLYPR	sleeper
ASLYVPAS	sliupas
ASMYKLA	smikla
ASMYTSVN	smithson
ASPARZA	esparza
ASPAVLDYNG	spaulding
ASPAYDRZ	spiders
ASPAYKS	spikes
ASPLYD	spleid
ASPVRY	sporay
ASPYVAK	spivak
ASTAKR	stoker
ASTAPLYC	stuplich
ASTARGYL	sturgill
ASTBAY	ostby
ASTFANS	stephanus
ASTFAN	staffan
ASTLY	astley
ASTR	aster
ASTRVK	strock
ASTRY	stray
ASTVFL	stoffel
ASTVKLAS	stoklas
ASTVK	stok
ASTVLK	stolcke
ASTVVAL	stovall
ASTYJH	steentje
ASTYL	steel
ASTYNSVN	stinson
ASTYNTJ	steentje
ATA	ota
ATMZ	atems
ATRZ	etters
ATYLRD	ethilrede
ATYLYV	attilio
ATYNZVN	etinzon
AVAN	awan
AVBRTAS	obertas
AVBYNGM	obbingem
AVCAR	owchar
AVDKRYK	oudekirk
AVDV	udo
AVGVSTYN	augustyn
AVKTS	awketts
AVKYNZ	oakins
AVLDRYJ	auldridge
AVMLAS	umlas
AVNAT	onat
AVNG	ong
AVRHART	everhart
AVTA	otha
AVTJH	oetje
AVT	ott
AVVLYV	avolio
AVYNAS	avinash
AVYRSA	aversa
AVYS	avis
AYDNBVRG	edenborough
AYGLSTVN	eaglestone
AYLTH	aeltje
AYNAYN	inauen
AYNDRA	indra
AYNDRAJYT	indrajit
AYNGMAR	ingemar
AYNGRM	ingram
AYNGVAR	ingvar
AYNGYJD	engaged
AYNJH	eyntje
AYNLY	ainley
AYNVSNT	innocent
AYRAY	airay
AYRDV	airdo
AYR	iyer
AYRVYYN	irwin
AYSBL	isbell
'AYSH	aiesha
AYSMN	isman
AYSTMN	eastman
AYSVN	ayson
AYSYZAKY	ishizaki
AYTJ	oetje
AYTSN	aitsen
AYVA	iowa
AYVALD	ewald
AYVANZ	evans
AYVND	eivind
AYVTYK	ivetic
AYVYN	eoin
AYZDY	izadi
AYZ	eyes
BAAFJ	baefje
BABAR	babar
BABV	babu
BABY	bobby
BAD	bud
BADYN	baden
BADZ	budds
BAGHAM	baugham
BAKYR	baqir
BALAS	balash
BALAST	ballast
BALSAM	balsam
BALTAKS	baltaxe
BALYT	balit
BAMSV	bumsoo
BAN	bunn
BANGARTZ	bongarts
BANG	bunge
BARAS	barath
BARG	burg
BARJYL	bargiel
BARKALV	barculo
BARKAY	barkai
BARKLY	barkley
BARKSFYLD	barksfield
BARND	barend
BARSY	barsai
BARTLMAS	bartelmus
BARTMVS	bartelmus
BARYNGTVN	barrington
BAS	boss
BASR	basher
BASSA	bosscha
BASTARD	bastard
BAT	bat
BATRA	batra
BATYL	bataille
BAVDYN	baudin
BAYARD	bayard
BAYLZ	byles
'BDALLH	abdullah
BDKVK	badcock
BDYRA	bdira
BHRV	bahro
BLASYVS	blasius
BLAVYZ	blyweiss
BL	bell
BLTRAV	beltrao
BLYNGASLY	billingsley
BNAKSY	bonacci
BNARY	benari
BNKR	banker
BNTVN	benton
BRADRTVN	brotherton
BRAGHAM	brougham
BRAK	brock
BRAKLY	brockley
BRAKNY	brackney
BRANN	brannen
BRANSVYK	brunswick
BRASAYR	brashier
BRASRZ	brashers
BRAVN	brown
BRAYAN	bryan
BRAYD	bryde
BRAYN	brien
BRAZVN	bruzzone
BRD	beard
BRGSVN	borgeson
BRKAH	barkah
BRK	berk
BRLYN	berlin
BRNDY	brandy
BRQ	bargh
BRSLR	bresler
BRSMN	bressman
BRT	burt
BRVKSL	brooks
BRVKZ	brooks
BRVNR	bruner
BRVYNS	bruines
BRYND	brind
BRYNDL	brindle
BRYNK	brink
BRYNKMN	brinkman
BSAK	bosak
BS	bess
BVAY	buay
BVAYVYN	boivin
BVBYS	bobbish
BVDYVN	boudeweyn
BVKLY	buckley
BVLTN	boulton
BVNYFASYVS	bonifacius
BVRYL	burrill
BVSCA	bosscha
BVSK	buceck
BVSTRVM	bostrom
BVSVM	bossom
BVY	bowie
BVZANCYV	bojanchev
BYANG	byung
BYBR	bieber
BYDA	bayda
BYDL	beedle
BYFJH	baefje
BYK	bik
BYMYNG	beeming
BYNY	binnie
BYR	beer
BYR	beyer
BYRBK	bareback
BYRYC	barich
BYSMARK	bismarck
BYTANKRT	bethancourt
BYTARD	bittard
BYTZ	bitz
BYVCAMP	beauchamp
BYVRLY	beverly
BYVRZ	beavers
BYYVCMP	beauchamp
CANSY	chauncy
CAPL	chappell
CAVZ	chavez
CKRD	checkered
CLATVN	chellaton
CMBZY	chembezi
