ABND	abend
ABNR	abner
ABRT	ebbert
ABRT	ebert
ABSTGARTN	obstgarten
ABT	abbott
ABVTSMYT	abbotsmith
ABYAN	abyan
ABYLAK	abilock
ACDL	archdale
ACYSVN	atchison
ADAM	adam
ADANL	odonnell
ADGRYNGLNT	adgeringelant
ADLAYD	adelaide
ADLHYD	adelheid
ADNBRAG	edenborough
ADST	adsett
ADVARD	edward
ADY	eddey
ADYS	addis
AFRA	afra
AFYF	afif
AFZAL	afzal
AGBRN	ogborn
AGBVRN	ogborn
AGRYNGLND	adgeringelant
AGVYV	agoyo
AJRAYNGLND	adgeringelant
AKM	akeem
AKMR	alcmere
AKSDLM	axthelm
AKYN	akin
ALANA	alana
ALAVY	allaway
ALBYNGR	albinger
ALDRYJ	eldridge
ALFA	alpha
ALFANSV	alfonso
ALF	elf
ALFVRD	elford
ALGRV	allegro
ALJH	aeltje
ALKK	allcock
ALKMRH	alcmere
ALKSANDRVZ	alexandros
ALMVD	alamode
ALMVMAN	elmoman
ALMVR	elmore
ALMYNTAKAH	almintaqah
ALNVR	alnoor
ALSNDRV	alesandro
ALSP	alsop
ALVAN	alwan
ALVY	allaway
ALY	allee
ALYLYVNAS	alelyunas
ALYNGTVN	elkington
ALYZABT	elizabeth
AMAGYV	omaggio
AMAND	amand
AMANVYL	emmanuel
AMBRVSS	ambrosius
AMLYA	amelia
AMRY	amery
AMSTD	umstead
AMYLY	emilie
AMYNA	aamina
ANATY	anathea
ANDR	andr
ANDR	endre
ANDRR	anderer
ANDSVRS	endesworth
ANGLHVRN	engelhorn
ANGLND	england
ANJL	angle
ANJLJY	engeltje
ANJLS	angeles
ANJLT	engeltje
ANJY	engi
ANQH	anghe
ANR	oner
ANTANAYTYS	antanaitis
ANTVNVVYC	antonowich
ANTVNYV	antonio
ANTYPDS	antipodes
ANTYSTL	anthistle
ANV	enno
ANVRS	anvers
ANVS	enos
ANYL	anil
ANZLVAR	anzlovar
APCRC	upchurch
APLYBY	applebee
APSYLVN	epsilon
APYDAL	oppedal
ARBY	orbi
ARCALH	archdale
ARCDYL	archdale
ARGAN	organ
ARHARD	erhard
ARMSRVNG	armstrong
ARYS	artiss
ASAKVL	assakul
ASKALY	scally
ASK	ask
ASKRAYZ	skerries
ASKVLYNG	scowling
ASKVYLR	schuyler
ASKVYVYL	esquivel
ASKYN	skean
ASKYP	skip
ASLBVTNN	slabotnen
ASLTR	slater
ASMA	asma
ASPARZA	esparza
ASPATAFVRA	spatafora
ASPAYK	spike
ASPLMN	spelman
ASPRAG	sprag
ASTAKR	stoker
ASTAR	starr
ASTAYNMN	stineman
ASTDYNA	stedina
ASTRAK	strock
ASTRLYNG	stirling
ASTRN	sterne
ASTRYN	ostrin
ASTRYNY	strini
ASTVR	astore
ASTVRYM	sturim
ASTVVAL	stovall
ASTYPLZ	staples
ASYF	asif
ATVSY	atusi
ATVYL	attewell
ATYNGR	ettinger
ATYVL	attewell
AVASTY	awasthi
AVCAR	owchar
AVDVAK	odwak
AVDVN	audun
AVDYVM	odum
AVGAR	ugur
AVGNH	eugene
AVGVSTV	augusto
AVJN	augen
AVLAYVVLA	olivola
AVLDKVRN	oldcorn
AVNAT	onat
AVNYL	avniel
AVNZ	owens
AVRAHAM	avraham
AVRY	uri
AVSAL	oshall
AVSTHAMARN	austhamaren
AVSTVRYN	austvorren
AVVLYV	avolio
AVYK	aveek
AVZBRN	osburn
AYBAR	ibar
AYDYD	aidid
AYDY	eady
AYGV	igoe
AYKAM	eckam
AYKBRN	ayckbourn
AYLR	iler
AYLSA	ailsa
AYLYDYV	ilidio
AYLYS	eyles
AYNANA	inanna
AYNDAYRSN	indiresan
AYNGRAHAM	ingraham
AYNGRYSVL	ingresole
AYNKH	einke
AYNMN	inman
AYNR	inner
AYNTAYR	intyre
AYNVSNT	innocent
AYNZHNRY	inzhenery
AYR	air
AYRVNSVN	aronson
AYRY	airay
'AYSA	aiesha
AYSA	aiesha
AYSAKS	isaacs
AYSLYK	icelic
AYSTR	easter
AYSTVY	eastway
AYVSYN	eosin
BABAR	baabar
BAC	butch
BACLDR	batchelder
BAD	bud
BADR	budur
BADY	buddy
BADYNGTVN	baldington
BADYVN	bauduyn
BAGAY	bugay
BAGHAM	baugham
BAKSR	buckser
BAL	bale
BALBYR	balbir
BALGA	balqa
BAPTYSTA	baptista
BARASV	barroso
BARBR	barber
BARKASFYLD	barksfield
BARKR	barker
BARTL	bartelle
BARTLMAS	bartelmus
BARTN	burton
BARTVLVMYVS	bartholomeus
BARTVNYKV	bartonico
BARTY	beartie
BASVAL	boswall
BASYLYSK	basilisk
BATN	button
BAVMGARTNR	baumgartner
BAVRY	bowery
BAY	bai
BAYDA	bayda
BAYFYLD	byfield
BAYRD	byrd
BBKAK	babcock
'BDAL'ZYZ	abdulaziz
'BDVAL'ZYZ	abdulaziz
BHAMND	bahamonde
BKR	bacar
BKY	bekki
BKYR	baqir
BLAF	bluff
BLANCH	blanche
BLDVYJN	boldwijn
BLKLY	blackley
BLKVL	blackwell
BLVHM	blohm
BLVZ	bulus
BLYNKV	blinco
BLYTA	blatta
BNAMAR	benamar
